Jurisdicción,CUE Anexo,Nombre,Sector,Ámbito,Domicilio,CP,Código de área,Teléfono,Fecha alta,Cant. Alumnos,Asignación parcial ($),Asignación final ($),Promedio nota alumnos
Formosa,340107303,JIN N° 42 - EPEP N° 111,Estatal,Rural,AVENIDA NESTOR KIRCHNER   LAS LOMITAS,3630,,,31397,4391,0,0,6
Formosa,700016201,JIN N° 25 - EPEP N° 327,Estatal,Rural,RUTA NACIONAL Nº 86   COLONIA SAN JOSÉ,P3621,,,24930,2110,0,0,9
Santa Fe,820148300,JARDIN DE INFANTES PART. INC. NRO 1363 HIJAS DE CRISTO REY,Privado,Urbano,9 DE JULIO 888 HOPPE ,S2919,3400,474903,23157,3736,0,0,5
Misiones,540184613,U.G.L. Nº 12 (A.Sat ESC. Nº 743),Estatal,Urbano,  EXALTACIÓN DE LA CRUZ CAMINO VECINAL,3324,376,154346429,25021,3734,0,0,9
Tucumán,900013500,ESC. N°235 - EMILIO GENOVE BARRIONUEVO,Estatal,Rural,   ENTRE RIOS,T4166,0,155880280,25755,4985,0,0,3
Santa Fe,820125300,ESCUELA NRO 383 JUAN GREGORIO DE LAS HERAS,Estatal,Urbano,CALLE 103 1058  VILLA JOSEFINA,S2438,3564,15516252,21633,2605,0,0,10
Buenos Aires,60463200,ESCUELA DE EDUCACIÓN PRIMARIA Nº13 PAULA A. DE SARMIENTO,Estatal,Rural,RUTA 33 KM.63   LA QUERENCIA,8160,291,15-405-3339,20054,2136,0,0,10
Buenos Aires,60313600,INSTITUTO ROSARIO DE SANTA FE,Privado,Urbano,AVENIDA JARA 2667  ,7600,223,472-5037,20427,4765,0,0,6
Buenos Aires,60461300,ESCUELA DE EDUCACIÓN PRIMARIA Nº36 PATRICIAS ARGENTINAS,Estatal,Rural,CUARTEL XII S/N  LAS PAJAS,7150,2293,15-46-4641,32781,3653,0,0,10
Salta,660044300,JAIME DAVALOS EX N° 805,Estatal,Rural,EL NOGALAR   Ruta Provincial Nº 33,A4415,,,21295,4678,0,0,3
Jujuy,380065700,COLEGIO POLIMODAL N 5,Estatal,Rural,AV. 9 DE NOVIEMBRE   ,Y4632,,,23740,2143,0,0,9
Entre Ríos,300086400,ANTARTIDA ARGENTINA 74,Estatal,Rural,   PUEBLO CAZES,E3269,3447,496053,32189,1523,0,0,5
Neuquén,140072000,ESCUELA PROVINCIAL DE ENSEÑANZA TÉCNICA 20,Estatal,Urbano,LANIN 2036 MILITAR ,8300,299,4478052,19572,4782,0,0,7
Santa Fe,820275600,ESCUELA ESPECIAL NRO 2030 SURCOS DE ESPERANZA,Estatal,Urbano,MITRE 2518 OESTE ,S3080,3496,423335,31343,4464,0,0,7
La Pampa,420070202,J.I.N. Nº 23 en Escuela N° 175,Estatal,Rural,Gabino Ezeiza s/n   SUM Municipalidad,L8214,2954,452642,29507,1685,0,0,5
Mendoza,500097000,ROSA ISABEL TREBES DE TORRES,Estatal,Urbano,   SAN MARTIN S/N,M5565,261,5592608,28263,3274,0,0,3
Buenos Aires,60129200,ESCUELA ESPECIAL Nº501 MINISTRO OSVALDO ZARINI,Estatal,Urbano,AZCUENAGA ESQ. BELGRANO 581  ,1814,2226,43-2633,31410,3763,0,0,7
Tucumán,900220400,JARDIN MATERNO INFANTIL OKI DOKI,Privado,Urbano,PASO DE LOS ANDES 658  ,,0,4234585,24377,3892,0,0,3
Corrientes,180016300,ESCUELA PRIMARIA Nº 175,Estatal,Rural,RUTA Nº 9   PJE.ALBARDON NORTE - 2DA.SECCION,W3403,0,0,18933,4860,0,0,9
Santiago del Estero,860094000,JARDIN MUNICIPAL Nº22 VIRGEN DEL CARMEN,Estatal,Urbano,AV. ROCA Y TOMAS GUIDO  SARGENTO CABRAL ,G4200,,,26128,2927,0,0,10
San Juan,700072200,ESCUELA TÉCNICA DE CAPACITACIÓN LABORAL ROBERTO J. PAYRO,Estatal,Urbano,ALMA FUERTE S/N  SALVADOR MARÍA DEL CARRIL ,J5423,264,4307667,31770,3178,0,0,5
La Pampa,420020000,Instituto Catriló Dr. Ernesto López,Privado,Urbano,Roque Saenz Peña  357  ,L6330,2954,491124,32007,3331,0,0,9
Tucumán,900177400,ESC. TECNICA JUAN XXIII,Estatal,Urbano,CHILE 2151 JUAN XXIII ,T4000,381,4333455,34338,3557,0,0,6
Santa Fe,140072000,COLEGIO SUPERIOR NRO 47 FLORENTINO AMEGHINO,Estatal,Urbano,BOULEVARD CENTENARIO 1075  ,S2500,3471,422131,24374,4447,0,0,8
Tucumán,900177657,C.E.F.P. N° 2-52,Estatal,Urbano,CAMINO VECINAL S/N   LOS ARROYO,T4158,3865,15674450,30582,2770,0,0,3
Santiago del Estero,860066600,CENTRO DE EDUCACION BASICA DEL ADULTO Nº041,Estatal,Rural,NECOCHEA  CENTRO ,G4300,,,34620,1837,0,0,5
Misiones,540012500,ESC. Nº 468: JUANA MANSO,Estatal,Urbano,PARAGUAY 1680  A 100m de la terminal de omnibus. Entre Cuyo y Kennedy. Paralela a Talcahuano,N3380,3751,422012,23871,1677,0,0,3
Misiones,540183713,U.G.L. Nº 03 (Ext. Esc. Nº 724),Estatal,Urbano,   CERCA DEL Aº PEPIRÍ MINÍ A 4KM R.14,3352,3751,15600540,21230,2628,0,0,7
Misiones,540110100,INST. PRIV. MARIANO,Privado,Urbano,Avda. Sarmiento  714 Centro Sarmiento y José Ingenieros,N3360,3755,401789,32448,2229,0,0,5
Santiago del Estero,860003300,COLEGIO SECUNDARIO JOSE DE SAN MARTIN,Estatal,Urbano,LAVALLE Y LAS VIRGENES   COLONIA DORA,G4332,,,22055,4666,0,0,3
Buenos Aires,60046200,ESCUELA ELMINA PAZ DE GALLO,Privado,Urbano,AVENIDA ROSALES E/ COLIQUEO Y CATRIEL 2312  ,1706,11,4659-1369,33733,4039,0,0,6
La Rioja,460014900,ESC.N°067 DOMINGA ESTHER FUNES,Estatal,Rural,RUTA PCIAL.N°11   ,F5361,,,31521,4000,0,0,10
Tucumán,900179500,INST. SANTA CATALINA DE SIENA,Privado,Urbano,Jujuy 1717 VILLA ALEM ,T4000,,4291838,24709,2015,0,0,3
La Pampa,140072000,Instituto Superior de Estudios Psicopedagógicos y Sociales - Sede General Pico,Privado,Urbano,Calle 24 454 Centro Colegio Secundario Zampieri y Quaglini ,L6360,2302,15300946,34656,3184,0,0,8
Santa Fe,820321201,NUCLEO I - JARDIN DE INFANTES NRO 195 ANA MARIA SANCHEZ DE MAIDANA,Estatal,Urbano,ANGELA PERALTA PINO 515 SUR ,S3060,3491,473881,19119,2268,0,0,3
Santiago del Estero,860129600,ESCUELA ESPECIAL N° 240 DR.RAMON CARRILLO,Estatal,Urbano,Uruguay  110 America del Sur ,G4200,385,4949229,29495,1837,0,0,10
La Rioja,460031400,ESC.N°188,Estatal,Rural,NICOLASA PERAFAN S/N° LA PUNTILLA ,F5367,,,18846,3165,0,0,7
San Juan,700063700,C.E.N.S. HÉROES DE MALVINAS,Estatal,Urbano,BELGRANO 418  ,J5435,,,28397,4461,0,0,5
Mendoza,500194800,ESCUELA Nº 3-483 (C.E.N.S.),Estatal,Urbano,  COVIMET IV ALBERTI S/N,M5525,,4910991,34364,2755,0,0,3
Misiones,540135200,ESC. Nº 867: IRYAPU (INT. BILINGÜE),Estatal,Rural,   COMUNIDAD ABORIGEN IRYAPU,N3370,3757,15522619,25966,2936,0,0,10
Salta,660017000,ESCUELA Nª 4276 Escribano Hector Juan Saa EX N° 434,Estatal,Rural,PARAJE PACARA   ,A4560,,,27397,2835,0,0,9
Santiago del Estero,860208500,JARDIN MUNICIPAL N°2 MUNDO FELIZ,Estatal,Urbano,Marcos Victorio S/N  Ricardo Rojas Entre calles astiglione y Fco. de Aguirre,4338,385,4921505,20373,4557,0,0,5
Buenos Aires,60401700,JARDÍN DE INFANTES Nº905,Estatal,Urbano,LOS SAUCES Y SANTA ANA - BO. CARUMBE S/N  BARRIO CARUMBE,1667,2322,62-3426,24539,2589,0,0,7
Santa Fe,820276200,JARDIN DE INFANTES NRO 102 ALFREDO WILLINER,Estatal,Urbano,LUIS PASTEUR 461 ILOLAY ,S2300,3492,431630,29724,3324,0,0,8
Buenos Aires,60008500,INSTITUTO SAN JOSE,Privado,Urbano,AV. PTE. JUAN D. PERON 734  ,1663,11,4451-7937,23396,2404,0,0,10
Río Negro,620015900,ESCUELA PRIMARIA NRO. 12 DOLORES OCHOA,Estatal,Urbano,SARMIENTO 682  EEBA 4,R8334,298,4480339,26609,2711,0,0,5
Entre Ríos,300037200,ISLAS MALVINAS 105,Estatal,Urbano,ROCAMORA 515  ,E2820,3446,425775,28616,3467,0,0,4
Formosa,340079400,EPEP Nº476,Estatal,Rural,   LAS CAÑITAS,P3636,,,18279,4845,0,0,3
La Rioja,460064300,CENTRO DE CAPACITACION LABORAL N°28,Estatal,Urbano, S/N°  VENECIA,F5300,,,20915,4528,0,0,5
Chaco,220033700,E.E.P. Nº 584-JUAN HORTENCIO QUIJANO,Estatal,Rural,   Villa Quijano,H3514,466142,3644,26999,4693,0,0,10
Chubut,260008500,PETRÓLEO ARGENTINO,Estatal,Urbano,San José de Jachel 950 Pueyrredón ,U9000,297,4483324,26738,1791,0,0,8
Misiones,540184700,U.G.L. Nº 13: Puerto Rico,Estatal,Rural,Av. San Martin y Andresito   Av. San Martin y Andresito - Edif. Terraza - Local Nº 5,N3334,3743,15667896/517563,24141,4255,0,0,5
Corrientes,180074800,ESCUELA Nº 21 FRANCISCO MARIA MORELLO,Estatal,Rural,CAMINO VECINAL   1RA SECCION - LOMAS SUR,W3432,3777,416538,21734,3895,0,0,3
Córdoba,140068800,INST. SUP. BERNARDO A. HOUSSAY,Estatal,Urbano,RUTA NACIONAL Nº 9 Y AVDA. LAS COLONIAS  CENTRO MARCOS JUAREZ,X2580,3472,455644,19278,4810,0,0,3
Chubut,260008100,DONALD BORSELLA,Estatal,Urbano,Lewis Jones 412 Alberdi ,U9100,280,4427559,32950,4487,0,0,9
Misiones,540005501,Aula Sat. Nº 01: ESC. ADULTOS Nº 27,Estatal,Urbano,25 DE MAYO   ,3338,3755,15653957,33312,3421,0,0,9
Tucumán,900184800,COL. JOSE ENGLING,Privado,Urbano,BALCARCE 315 NORTE ,T4000,,0381-4305227,26697,3680,0,0,4
Misiones,540157000,ESC. ESPECIAL Nº 49 (Ex Aula Sat. Esc. Especial Nº 01),Estatal,Urbano,A 200 M AVDA. LAS AMERICAS Bº 90 V. S/N BARRIO 90 VIVIENDAS A 200 M. AVDA. LAS AMERICAS Bº 90 VIVIENDAS (ESC. 828),N3304,376,154391399,22276,2596,0,0,5
Santiago del Estero,860184400,COLEGIO SECUNDARIO 7 DE NOVIEMBRE,Estatal,Urbano,SECTOR C COLONIA EL SIMBOLAR  SECTOR C COLONIA EL SIMBOLAR,G4354,385,4911363,27237,2839,0,0,10
Salta,660019200,ESCUELA Nª 4611 EX N° 855,Estatal,Rural,PARAJE CHAÑARES ALTOS   RIVADAVIA BANDA NORTE -VIA TARTAGAL- ESTAFETA DE S.V.ESTE,A4561,387,154570821,31453,1514,0,0,6
Mendoza,500094800,EUGENIO PETRI,Estatal,Rural,   LAVALLE S/N,M5570,263,4421372,34456,1876,0,0,9
Entre Ríos,300010000,PRIV. SAN MIGUEL 95,Privado,Urbano,MORENO 686  ,E3150,3435,421290,27332,4114,0,0,3
Entre Ríos,300020500,ESCUELA SECUNDARIA 8 HECTOR DE ELIA,Estatal,Rural,AVDA. ROCA S/N  COLONIA ELIA,E3261,3442,493074,29373,4713,0,0,8
Ciudad de Buenos Aires,20035300,EI Nº 02 DE 14 (HOSP. TORNU),Estatal,Urbano,COMBATIENTES DE MALVINAS 3002 PARQUE CHAS ,C1427,11,4521-9789,29287,4493,0,0,5
Misiones,540087700,ESC. Nº 544: MANUEL ALVEZ,Estatal,Rural,PARAJE MARTIN GÜEMES-LOTE 25 -SEC.P   PARAJE MARTIN GÜEMES- LOTE 25 - SECCION P,N3361,3755,422946,24961,2095,0,0,5
Río Negro,620047705,CENTRO DE EDUCACION BASICA PARA ADULTOS NRO. 6,Estatal,Urbano,O'HIGGINS Y RECONQUISTA  ZATTI ,R8500,2920,424677,33332,3234,0,0,3
Misiones,540018700,ESC. Nº 60: MARIANO R.PEREZ,Estatal,Rural,Colonia Alemana. Lote Nº90   Colonia Alemana ,N3311,3754,527589,22009,4693,0,0,6
Corrientes,180091000,ESCUELA PRIMARIA COMUN Nº 30 OLEGARIO GAMARRA ARBO,Estatal,Rural,   5TA. SECCION - PJE. LOMA ALTA,W3423,379,154405083,18917,2460,0,0,10
Santa Fe,820190404,C.E.P.A. NRO 161,Estatal,Urbano,AVELLANEDA 206  ESCUELA PRIMARIA NRO 913,S2154,341,4713966,33646,4802,0,0,7
Buenos Aires,60353600,ESCUELA DE EDUCACIÓN PRIMARIA Nº20 ARMADA ARGENTINA,Estatal,Rural,PARAJE LA FLORENTINA S/N  LA FLORENTINA,7414,2284,15-45-4294,27156,2390,0,0,8
Buenos Aires,60565200,JARDÍN DE INFANTES JUAN BAUTISTA ALBERDI,Privado,Urbano,AV. SANTA ROSA 863  ,1712,11,4624-1167,19997,3804,0,0,9
Chubut,260020500,FRANCA AUSTRAL,Estatal,Urbano,Luis María Campos  299 viviendas  ,U9120,280,4451864,30317,3769,0,0,9
Santiago del Estero,860214700,AGRUPAMIENTO Nº 86024 CON SEDE ESC Nº 170,Estatal,Rural,   EL QUEMADO,G4197,,,23525,1829,0,0,4
Catamarca,100007300,ESCUELA PROVINCIAL DE MINERIA  DR.BERNARDO HOUSSAY,Estatal,Urbano,ACOSTA VILLAFAÑEZ 1416 CENTRO ,K4700,,,33788,3434,0,0,3
Formosa,340069505,NEP Y FP Nº24 - EPEP Nº176,Estatal,Rural,   EPEP Nº176,P3610,3718,422860,20687,3154,0,0,3
San Luis,740009300,ESC. N° 7 CONSTANCIO CARLOS VIGIL,Estatal,Urbano,CARPINTERIA 90 JARDIN SAN LUIS ,D5700,266,4430233,33831,2468,0,0,3
Formosa,340002500,EJI N° 12 NIDITO DE AMOR,Estatal,Urbano,RUTA PROVINCIAL Nº 2  CENTRO ,P3611,,,31118,1867,0,0,7
Entre Ríos,300100300,PRIV. SAN BENITO ABAD 158,Privado,Urbano,RAMIREZ 534  ,E3107,,4973426,20054,4676,0,0,5
Santa Cruz,780019300,ESCUELA PRIMARIA PROVINCIAL Nº 56 KREWEN KAU,Estatal,Urbano,VENEZUELA 1230 CENTENARIO ,Z9050,297,4870239,30857,3950,0,0,6
Neuquén,580112400,ESCUELA PRIMARIA 358,Estatal,Urbano,GUILLEN NICOLAS  BARRIOS UNIDOS ,8309,299,4870733,24353,4556,0,0,4
Buenos Aires,60287400,ESCUELA DE EDUCACIÓN PRIMARIA Nº123 ESTADOS UNIDOS DEL BRASIL,Estatal,Urbano,RUTA 2 - KM 43.800 S/N  EL PELIGRO,1894,221,49-2350,26529,2051,0,0,6
Buenos Aires,60484100,ESCUELA ESPECIAL Nº505 HIPOLITO BOUCHARD,Estatal,Urbano,Berutti 457  ,8000,291,452-1129,30893,3577,0,0,6
Santiago del Estero,860033000,ESCUELA Nº212 INFANTIL FALUCHO,Estatal,Rural,Camino Vecinal    ,G3740,,,22138,2670,0,0,6
Tucumán,900178400,INST. KINDER/COL. DEL SOL,Privado,Urbano,ESTEBAN ECHEVERRIA 256  ,T4000,381,4352206,28865,4266,0,0,9
Buenos Aires,60016401,CENTRO DE ADULTOS Nº704/02,Estatal,Urbano,EVARISTO CARRIEGO 453  ,2800,,,32778,2360,0,0,8
Tucumán,900063800,ESC. N° 173 - CAMINO DE LAS CARRETAS,Estatal,Rural,   RUTA 304 KM. 65,T4119,0,0,21386,2232,0,0,7
Ciudad de Buenos Aires,20094700,PROF. LUZ VIEIRA MENDEZ,Estatal,Urbano,BRAGADO 5350 MATADEROS ,C1440,11,4682-0185,25687,1778,0,0,8
Santa Fe,820261200,ESCUELA NRO 1036 ARTURO CAPDEVILA,Estatal,Rural,RUTA NRO 95   EMPALME RUTA 30 -CAMINO VECINAL,S3541,3491,499995,27814,1588,0,0,5
Entre Ríos,300072000,JOSE RUPERTO PEREZ 52,Estatal,Rural,   PARAJE EL CERRO,E3153,,,28612,2477,0,0,5
Chubut,260081900,ESCUELA DE NIVEL INICIAL ,Estatal,Urbano,25 de Mayo y Alsina   ,9200,2945,453433,34223,2557,0,0,9
San Juan,700018600,DOCTOR SATURNINO SALAS,Estatal,Rural,BUENOS AIRES S/N  9 DE JULIO ,J5442,264,4307895,25207,4541,0,0,9
Buenos Aires,60113900,ESCUELA DE EDUCACIÓN PRIMARIA Nº13 JOSÉ HERNANDEZ,Estatal,Rural,ZONA RURAL S/N  LA CENTRAL,6725,2273,40-9656,19605,4103,0,0,9
Misiones,540140800,C.E.P. Nº 27,Estatal,Urbano,HORACIO QUIROGA 933  HORACIO QUIROGA 933 Y R. PROV.Nº220,N3364,3755,649115/500680/470131,23012,3681,0,0,8
Misiones,540120201,Aula Taller Móvil Nº 01 Producción Agropecuaria,Estatal,Urbano,Av. Lavalle  1947  AV. ULISES TORRES CENTRO DEL CONOCIMIENTO,3300,376,154505450,21994,4576,0,0,10
Jujuy,380008500,ESCUELA N 418 EVA PERON,Estatal,Urbano,COCHABAMBA 1362 SAN PEDRITO ,Y4600,388,4254470,33605,4378,0,0,3
Santiago del Estero,860142503,JARDIN MUNICIPAL N° 3 BELEN,Estatal,Urbano,Victoria Ocampo  VILLA BALNEARIA ,G4220,,,25623,3605,0,0,3
Salta,660075900,VIRGEN DE LA CANDELARIA EX N°327,Estatal,Rural,PARAJE KELLOTICAR   ,A4651,sn,sn,18686,3926,0,0,5
Misiones,540165701,Aula Sat. Nº 01: ESC. ADULTOS Nº 78,Estatal,Rural,   ,,,375116000000,34245,1818,0,0,4
Chaco,220003300,JARDIN DE INFANTES Nº  113,Estatal,Urbano,ARSEMIO TASCON  CENTENARIO MZ.2-PC.6-4-2-Bº CENTENARIO,H3522,0,0,33156,2116,0,0,3
Misiones,540003700,ESC. ADULTOS Nº 34,Estatal,Urbano,AVDA. SAN MARTIN S/Nº(RUTA PCIAL.Nº8)   AVDA. SAN MARTIN S/N°  FUNC. ESCUELA Nº616,N3379,3755,246372/15596319,24380,2540,0,0,7
Santa Fe,820139102,C.E.R. NRO 552,Estatal,Rural,   CAMPO MARINSALTA,S2500,3471,424869,29839,4906,0,0,10
Tucumán,900083800,ESC. N° 278 HIPOLITO VIEYTES,Estatal,Rural,   RUTA 304 GRAL. SAN MARTIN - KM 41 1/2,T4119,,381-6743701,32897,4871,0,0,6
Neuquén,580126500,JARDÍN DE INFANTES 74,Estatal,Rural,9 DE ENERO AV   ,8311,299,491226,23322,3492,0,0,3
Jujuy,380074100,ESCUELA NORMAL SUPERIOR JUAN IGNACIO GORRITI,Estatal,Urbano,INDEPENDENCIA 755 CENTRO ,Y4600,388,155723089 / 4226792,28713,3752,0,0,6
Santa Fe,820377600,ESCUELA PART. INC. NRO 1418 AGROECOLOGICA ,Privado,Urbano,RUTA NRO 33 KM 637   ,S2600,3462,420543,18477,1777,0,0,7
La Rioja,460052100,COLEGIO SECUNDARIO PROVINCIAL DE OLPAS,Estatal,Rural,CASTRO BARROS S/N°  ,F5275,,03826-497097C/P,24888,4486,0,0,8
Santa Fe,820048300,JARDIN DE INFANTES PART. INC. NRO 1293 SAN JOSÉ,Privado,Urbano,PADRE ARNOLDO JANSSEN 2115  ,S3080,3496,420083,29097,4994,0,0,10
Formosa,340104101,CBSR EPEP N° 334,Estatal,Rural,RUTA NACIONAL Nº 86   COLONIA EL CEIBAL,P3621,,,28521,2022,0,0,9
Santa Fe,820060501,C.E.R. NRO 526 NUESTRA SEÑORA DE ITATI,Estatal,Urbano,   RUTA NRO 53 - CAMPO MARCHETTI - LOTE N°34,S3553,3483,15403535,33091,3126,0,0,8
Mendoza,500054700,GARCIA HURTADO DE MENDOZA,Estatal,Rural,   GODOY CRUZ Y ANGELINO ARENAS,M5585,261,0,34773,4854,0,0,4
Neuquén,580122200,CENTRO PROVINCIAL DE ENSEÑANZA MEDIA 91,Estatal,Rural,CARPINTERO GIGANTE  SIN DATO ESCUELA PRIMARIA 111,8403,294,479082,26593,4450,0,0,6
Santiago del Estero,860038900,ESCUELA Nº 577 CIPRIANO GOMEZ,Estatal,Rural,VIVA MERCEDES   VIVA MERCEDES,G4203,,,23936,4531,0,0,3
Formosa,340015800,EPEP N°264 PADRE GABRIEL GROTTI,Estatal,Rural,S/RUTA PROVINCIAL N° 2   MARTIN FIERRO,P3611,3718,459695,29143,2991,0,0,6
Entre Ríos,300110200,EJERCITO ARGENTINO 53,Estatal,Rural,  CAMINO VECINAL ENSANCHE SAUCE,E3228,,,21359,4087,0,0,5
Buenos Aires,60475300,ESCUELA DE EDUCACIÓN PRIMARIA Nº42 BARTOLOME PARODI,Estatal,Rural,CUARTEL IX S/N  ,6407,2392,15-40-6766,33497,3641,0,0,8
Santiago del Estero,860015000,ESCUELA N° 801 CRISTO REY,Estatal,Rural,Calle Publica    ESTACION CASARES,G2354,,,24659,1712,0,0,10
Córdoba,140008400,CONGRESO DE TUCUMAN,Estatal,Rural,CALLE PUBLICA   SEDE DE INSPECCIÓN,X5101,3576,15522190,34515,2992,0,0,7
Tucumán,900083300,ESC. N°152 DR.PEDRO MIGUEL ARAOZ,Estatal,Rural,El Naranjo   EL NARANJO,T4117,,,25361,4981,0,0,5
Chubut,260082000,JARDIN MATERNAL Y DE INFANTES YSGOL GYMRAEG SBAENEG,Privado,Urbano,RIO CORINTO Y CACIQUE NAHUELPAN   ,9203,2945,15551566,33975,3239,0,0,6
